State,B,T
Alabama,6,11
Alaska,6,11
Arizona,2,3
Arkansas,6,11
California,5,6
Colorado,1,3
Connecticut,6,11
Delaware,6,11
District of Columbia,6,11
Florida,2,3
Georgia,1,2
Hawaii,6,11
Idaho,6,11
Illinois,6,11
Indiana,6,11
Iowa,0,2
Kansas,6,11
Kentucky,0,2
Louisiana,6,11
Maine,2,2
Maryland,6,11
Massachusetts,6,11
Michigan,5,5
Minnesota,1,1
Mississippi,6,11
Missouri,6,11
Montana,6,11
Nebraska,6,11
Nevada,2,4
New Hampshire,2,2
New Jersey,6,11
New Mexico,6,11
New York,6,11
North Carolina,4,5
North Dakota,6,11
Ohio,2,2
Oklahoma,6,11
Oregon,6,11
Pennsylvania,3,3
Rhode Island,6,11
South Carolina,0,1
South Dakota,6,11
Tennessee,6,11
Texas,2,4
Utah,6,11
Vermont,6,11
Virginia,6,11
Washington,6,11
West Virginia,6,11
Wisconsin,3,6
Wyoming,6,11
